carId	trackId	trackLength	lapIndex	lapNum	lapFlag	binIndex	validBin	lap_number	lap_distance	lap_time	lap_time_invalid	world_position_X	world_position_Y	world_position_Z	world_forward_X	world_forward_Y	world_forward_Z	world_right_X	world_right_Y	world_right_Z	velocity_X	velocity_Y	velocity_Z	gforce_X	gforce_Y	gforce_Z	pit_status	race_position	flags_status	throttle	brake	clutch	steering	gear	rpm	rpm_perc	fuel	tyre_compound_0	tyre_compound_1	tyre_compound_2	tyre_compound_3	yaw	pitch	roll	chassis_yaw	chassis_pitch	susp_pos_0	susp_pos_1	susp_pos_2	susp_pos_3	susp_vel_0	susp_vel_1	susp_vel_2	susp_vel_3	susp_acc_0	susp_acc_1	susp_acc_2	susp_acc_3	susp_roll_0	susp_roll_1	wheel_speed_0	wheel_speed_1	wheel_speed_2	wheel_speed_3	wheel_slip_ratio_0	wheel_slip_ratio_1	wheel_slip_ratio_2	wheel_slip_ratio_3	wheel_slip_angle_0	wheel_slip_angle_1	wheel_slip_angle_2	wheel_slip_angle_3	wheel_angle_0	wheel_angle_1	wheel_angle_2	wheel_angle_3	wheel_lat_force_0	wheel_lat_force_1	wheel_lat_force_2	wheel_lat_force_3	wheel_long_force_0	wheel_long_force_1	wheel_long_force_2	wheel_long_force_3	wheel_vert_force_0	wheel_vert_force_1	wheel_vert_force_2	wheel_vert_force_3	wheel_camber_0	wheel_camber_1	wheel_camber_2	wheel_camber_3	wheel_camber_gain_0	wheel_camber_gain_1	wheel_camber_gain_2	wheel_camber_gain_3	cog_height	angular_vel_X	angular_vel_Y	angular_vel_Z	angular_acc_X	angular_acc_Y	angular_acc_Z	aero_height_0	aero_height_1	weather	track_temp	air_temp	pitSpeedLimit	safetyCarStatus	networkGame	pitIdealLap	pitLatestLap	pitRejoinPos	steeringAssist	brakeAssist	gearAssist	pitAssist	pitReleaseAssist	ersAssist	drsAssist	racingLineAssist	racingLineTypeAssist	gameMode	ruleSet	timeOfDay	sessionLength	num_sc	num_vsc	num_red	eqCarPerf	recoveryMD	flashbackLimit	surfaceType	lowFuelMD	raceStartMD	tyreTempMD	pitTyreMD	carDamageMD	carDamageRate	collisionsMD	collisions1MD	unsafeRelMD	offGriefingMD	cornerCutMD	safetyCarMD	formLapMD	redFlagsMD	activeAeroMD	startReactionTime	absAssist	tractionCtrlAssist	safetyCarDelta	penalties	warnings	corner_cut_warnings	startGridPosition	pitLaneTime	pitStopTime	delta_front	delta_leader	speedTrapMax	speedTrapLap	techLevel	platform	wing_setup_0	wing_setup_1	diff_onThrottle_setup	diff_offThrottle_setup	camber_setup_0	camber_setup_1	camber_setup_2	camber_setup_3	toe_setup_0	toe_setup_1	toe_setup_2	toe_setup_3	susp_spring_setup_0	susp_spring_setup_1	susp_spring_setup_2	susp_spring_setup_3	arb_setup_0	arb_setup_1	susp_height_setup_0	susp_height_setup_1	susp_height_setup_2	susp_height_setup_3	brake_press_setup	brake_bias_setup	brake_engine_setup	tyre_press_setup_0	tyre_press_setup_1	tyre_press_setup_2	tyre_press_setup_3	ballast_setup	fuel_setup	drs	brake_temp_0	brake_temp_1	brake_temp_2	brake_temp_3	tyre_temp_0	tyre_temp_1	tyre_temp_2	tyre_temp_3	tyre_tempInternalAir_0	tyre_tempInternalAir_1	tyre_tempInternalAir_2	tyre_tempInternalAir_3	tyre_press_0	tyre_press_1	tyre_press_2	tyre_press_3	terrain_0	terrain_1	terrain_2	terrain_3	engine_temp	suggested_gear	traction_ctrl_setup	abs_setup	fuel_type	fuel_remainingLaps	front_brake_bias	pit_limiter	drs_allowed	drs_distance	tyres_age	ice_power	mguk_power	ers_store	ers_deployMode	ers_harv_mguk	ers_harv_mguh	ers_harv_limit	ers_deployed	tyre_wear_0	tyre_wear_1	tyre_wear_2	tyre_wear_3	tyre_damage_0	tyre_damage_1	tyre_damage_2	tyre_damage_3	tyre_blister_0	tyre_blister_1	tyre_blister_2	tyre_blister_3	brake_damage_0	brake_damage_1	brake_damage_2	brake_damage_3	front_left_wing_damage	front_right_wing_damage	rear_wing_damage	floor_damage	diffuser_damage	sidepod_damage	drs_damage	ers_damage	gear_box_damage	engine_damage	mguh_damage	es_damage	ce_damage	ice_damage	mguk_damage	tc_damage	engine_blown	engine_seized	activeAero_mode	activeAero_allowed	activeAero_distance	overtake_allowed	overtake	overtake_distance	regulations_2026	driving_wrong_way
Aston Martin '26	Suzuka	5809	0	0	0	0	1	0	3.61108	0.033	0	-627.095	-54.5558	-14.5159	-0.663869	0.747093	-0.0325633	0.74749	0.664235	-0.000122074	73.4233	0.0187008	-0.0831158	-0.635	0.017	0.283	0	0	0	1	0	0	-8.78311e-05	6	12296	0.938698	10	18	18	18	18	0.726491	0.0325865	0.000124466	-0.000255048	0.000922873	0.506165	0.508926	0.438746	0.421637	17.6353	8.18633	54.2139	34.9241	-294.117	-417.902	-1255.35	-278.091	-0.000180582	0.00116842	73.3687	73.3703	74.7866	74.7866	-0.000666486	-0.00065762	0.0187075	0.0186903	-0.00125731	0.000861342	0.00406517	-0.00447208	-2.67401e-05	-2.67401e-05	0	0	-218.293	274.24	-1293.56	1381.65	-159.208	-158.289	3896.56	3884.37	4169.91	4265.77	5588	5483.8	-0.0518399	-0.0517999	-0.0505631	-0.0498499	0.000520147	0.00056006	-0.0156531	-0.0149399	0.237076	0.0600675	0.00712317	0.0017732	-0.0543467	0.780075	-0.0652931	0.0147403	0.0169275	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	506	446	470	462	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	400537	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	1	1	0	3.61108	0.033	0	-627.095	-54.5558	-14.5159	-0.663869	0.747093	-0.0325633	0.74749	0.664235	-0.000122074	73.4233	0.0187008	-0.0831158	-0.635	0.017	0.283	0	0	0	1	0	0	-8.78311e-05	6	12296	0.938698	10	18	18	18	18	0.726491	0.0325865	0.000124466	-0.000255048	0.000922873	0.506165	0.508926	0.438746	0.421637	17.6353	8.18633	54.2139	34.9241	-294.117	-417.902	-1255.35	-278.091	-0.000180582	0.00116842	73.3687	73.3703	74.7866	74.7866	-0.000666486	-0.00065762	0.0187075	0.0186903	-0.00125731	0.000861342	0.00406517	-0.00447208	-2.67401e-05	-2.67401e-05	0	0	-218.293	274.24	-1293.56	1381.65	-159.208	-158.289	3896.56	3884.37	4169.91	4265.77	5588	5483.8	-0.0518399	-0.0517999	-0.0505631	-0.0498499	0.000520147	0.00056006	-0.0156531	-0.0149399	0.237076	0.0600675	0.00712317	0.0017732	-0.0543467	0.780075	-0.0652931	0.0147403	0.0169275	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	506	446	470	462	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	400537	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	2	1	0	3.61108	0.033	0	-627.095	-54.5558	-14.5159	-0.663869	0.747093	-0.0325633	0.74749	0.664235	-0.000122074	73.4233	0.0187008	-0.0831158	-0.635	0.017	0.283	0	0	0	1	0	0	-8.78311e-05	6	12296	0.938698	10	18	18	18	18	0.726491	0.0325865	0.000124466	-0.000255048	0.000922873	0.506165	0.508926	0.438746	0.421637	17.6353	8.18633	54.2139	34.9241	-294.117	-417.902	-1255.35	-278.091	-0.000180582	0.00116842	73.3687	73.3703	74.7866	74.7866	-0.000666486	-0.00065762	0.0187075	0.0186903	-0.00125731	0.000861342	0.00406517	-0.00447208	-2.67401e-05	-2.67401e-05	0	0	-218.293	274.24	-1293.56	1381.65	-159.208	-158.289	3896.56	3884.37	4169.91	4265.77	5588	5483.8	-0.0518399	-0.0517999	-0.0505631	-0.0498499	0.000520147	0.00056006	-0.0156531	-0.0149399	0.237076	0.0600675	0.00712317	0.0017732	-0.0543467	0.780075	-0.0652931	0.0147403	0.0169275	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	506	446	470	462	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	400537	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	3	1	0	3.61108	0.033	0	-627.095	-54.5558	-14.5159	-0.663869	0.747093	-0.0325633	0.74749	0.664235	-0.000122074	73.4233	0.0187008	-0.0831158	-0.635	0.017	0.283	0	0	0	1	0	0	-8.78311e-05	6	12296	0.938698	10	18	18	18	18	0.726491	0.0325865	0.000124466	-0.000255048	0.000922873	0.506165	0.508926	0.438746	0.421637	17.6353	8.18633	54.2139	34.9241	-294.117	-417.902	-1255.35	-278.091	-0.000180582	0.00116842	73.3687	73.3703	74.7866	74.7866	-0.000666486	-0.00065762	0.0187075	0.0186903	-0.00125731	0.000861342	0.00406517	-0.00447208	-2.67401e-05	-2.67401e-05	0	0	-218.293	274.24	-1293.56	1381.65	-159.208	-158.289	3896.56	3884.37	4169.91	4265.77	5588	5483.8	-0.0518399	-0.0517999	-0.0505631	-0.0498499	0.000520147	0.00056006	-0.0156531	-0.0149399	0.237076	0.0600675	0.00712317	0.0017732	-0.0543467	0.780075	-0.0652931	0.0147403	0.0169275	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	506	446	470	462	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	400537	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	4	1	0	4.53636	0.0455	0	-628.32	-53.1768	-14.5695	-0.663901	0.747117	-0.0314875	0.747475	0.664251	0.000350963	73.5763	0.0158286	-0.0848623	-0.627155	0.0145036	0.270567	0	0	0	1	0	0	-6.55162e-05	6	12320.8	0.940587	10	18	18	18	18	0.726497	0.0315094	-0.000356906	-0.000215098	0.0006687	0.50594	0.508537	0.445282	0.431345	11.5285	4.40871	37.5098	22.714	-179.949	-296.158	-1384.59	-759.733	-0.000169816	0.000951873	73.523	73.5243	74.9373	74.9373	-0.00066461	-0.000656939	0.0185843	0.0185716	-0.00122801	0.000899533	0.00413443	-0.00447292	-1.99355e-05	-1.99355e-05	0	0	-214.292	262.469	-1312	1382.95	-157.324	-156.91	3870.57	3851.19	4114.18	4209.53	5593.31	5495.3	-0.0518316	-0.0517953	-0.0510395	-0.0504511	0.000528393	0.000564677	-0.0161295	-0.0155411	0.237015	0.0504094	0.00244004	0.00150829	-0.243426	0.721732	-0.0782537	0.0146196	0.0162044	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	505	445.25	469	461	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	399667	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	5	1	0	5.46164	0.058	0	-629.546	-51.7978	-14.623	-0.663932	0.747141	-0.0304118	0.74746	0.664266	0.000824	73.7293	0.0129564	-0.0866089	-0.619211	0.0120041	0.258088	0	0	0	1	0	0	-4.32013e-05	6	12345.5	0.942477	10	18	18	18	18	0.726503	0.0304322	-0.000838278	-0.000175148	0.000414526	0.505716	0.508148	0.451819	0.441053	5.42175	0.631102	20.8058	10.5038	-65.7813	-174.414	-1513.83	-1241.38	-0.00015905	0.000735323	73.6773	73.6783	75.0881	75.0881	-0.000662733	-0.000656259	0.0184611	0.0184529	-0.00119871	0.000937723	0.00420368	-0.00447375	-1.31308e-05	-1.31308e-05	0	0	-210.292	250.698	-1330.44	1384.25	-155.44	-155.531	3844.57	3818.01	4058.46	4153.29	5598.62	5506.8	-0.0518234	-0.0517907	-0.0515159	-0.0510524	0.000536639	0.000569293	-0.0166059	-0.0161424	0.236955	0.0403724	-0.00248408	0.0012333	-0.675578	0.306151	-0.0860693	0.014499	0.0154814	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	504	444.5	468	460	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	398797	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	6	1	0	6.38692	0.0705	0	-630.771	-50.4188	-14.6766	-0.663962	0.747163	-0.029336	0.747444	0.664281	0.00129704	73.8822	0.0100843	-0.0883554	-0.611162	0.00950253	0.245565	0	0	0	1	0	0	-2.08864e-05	6	12370.2	0.944366	10	18	18	18	18	0.726509	0.0293551	-0.00131965	-0.000135198	0.000160353	0.505491	0.507759	0.458355	0.45076	-0.685024	-3.14651	4.10171	-1.70644	48.3868	-52.6703	-1643.06	-1723.02	-0.000148285	0.000518772	73.8316	73.8322	75.2388	75.2388	-0.000660856	-0.000655578	0.0183379	0.0183341	-0.00116941	0.000975914	0.00427293	-0.00447458	-6.32617e-06	-6.32617e-06	0	0	-206.291	238.927	-1348.88	1385.55	-153.556	-154.152	3818.57	3784.84	4002.73	4097.05	5603.92	5518.31	-0.0518151	-0.0517861	-0.0519924	-0.0516537	0.000544885	0.00057391	-0.0170824	-0.0167437	0.236895	0.0294627	-0.00761117	0.000933126	-0.609798	-0.396251	-0.0257213	0.0143783	0.0147583	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	503	443.75	467	459	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	397927	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	7	1	0	7.3122	0.083	0	-631.996	-49.0398	-14.7302	-0.663991	0.747185	-0.0282601	0.747429	0.664296	0.00177007	74.0352	0.0072121	-0.090102	-0.603	0.007	0.233	0	0	0	1	0	0	1.42856e-06	6	12395	0.946255	10	18	18	18	18	0.726515	0.028278	-0.00180102	-9.52482e-05	-9.38203e-05	0.505267	0.50737	0.464891	0.460468	-6.7918	-6.92412	-12.6024	-13.9166	162.555	69.0735	-1772.3	-2204.66	-0.000137519	0.000302222	73.9859	73.9862	75.3895	75.3895	-0.000658979	-0.000654897	0.0182148	0.0182154	-0.00114011	0.0010141	0.00434219	-0.00447542	4.78479e-07	4.78479e-07	0	0	-202.29	227.157	-1367.32	1386.85	-151.672	-152.774	3792.57	3751.66	3947	4040.82	5609.23	5529.81	-0.0518069	-0.0517815	-0.0524688	-0.052255	0.000553131	0.000578526	-0.0175588	-0.017345	0.236835	0.0166268	-0.0118421	0.000569669	-0.438496	-0.556734	0.00250444	0.0142577	0.0140353	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	502	443	466	458	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	397057	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	8	1	0	8.2394	0.0955	0	-632.611	-48.3468	-14.7549	-0.663991	0.747185	-0.0282373	0.747429	0.664296	0.00202948	74.1088	0.0064637	-0.101437	-0.605997	0.00679482	0.190758	0	0	0	1	0	0	5.14098e-06	6	12409.8	0.947381	10	18	18	18	18	0.726515	0.0282539	-0.00205503	-8.43555e-05	7.30804e-05	0.504354	0.506649	0.460174	0.455317	-7.69336	-6.9719	-19.7189	-21.3116	28.6122	-25.8046	-1340.4	-1656.57	-0.000150025	0.00033177	74.0593	74.0597	75.4783	75.4783	-0.000660217	-0.000655279	0.0184184	0.0184188	-0.00112146	0.00102107	0.00434221	-0.00445232	1.74316e-06	1.74316e-06	0	0	-195.365	220.011	-1350.71	1367.73	-149.967	-151.635	3794.05	3754.05	3892.04	3999.75	5516.54	5433.59	-0.0518165	-0.05179	-0.0522892	-0.0520553	0.000543514	0.00057003	-0.0173792	-0.0171453	0.236802	0.0171401	-0.0128276	0.00062115	-0.31396	-0.494661	0.00544248	0.0145686	0.0147418	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	501.75	442.5	465.5	457.5	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	396546	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Suzuka	5809	0	0	0	9	1	0	9.1666	0.108	0	-633.227	-47.6537	-14.7795	-0.663991	0.747185	-0.0282144	0.747429	0.664296	0.00228889	74.1825	0.00571529	-0.112771	-0.606533	0.00655985	0.147344	0	0	0	1	0	0	8.8534e-06	6	12424.5	0.948508	10	18	18	18	18	0.726515	0.0282299	-0.00230905	-7.34627e-05	0.000239981	0.503442	0.505928	0.455456	0.450167	-8.59491	-7.01968	-26.8355	-28.7066	-105.331	-120.683	-908.506	-1108.48	-0.000162532	0.000361319	74.1326	74.1332	75.5671	75.5671	-0.000661455	-0.000655661	0.0186221	0.0186223	-0.0011028	0.00102804	0.00434224	-0.00442923	3.00785e-06	3.00785e-06	0	0	-188.44	212.866	-1334.09	1348.6	-148.262	-150.497	3795.52	3756.44	3837.09	3958.67	5423.84	5337.38	-0.0518261	-0.0517985	-0.0521096	-0.0518557	0.000533897	0.000561533	-0.0171996	-0.0169457	0.236769	0.0176444	-0.0138068	0.000672334	-0.161726	-0.43387	0.00960718	0.0148796	0.0154483	0	27	18	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	725	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	501.5	442	465	457	97	97	97	97	97	97	97	97	170069	170069	149689	149689	0	0	0	0	110	0	0	0	1	7.22628	0.57	0	0	0	0	396034	215989	4e+06	2	0	0	8.5e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
